parameter,coefficient
bldg_type_TwnhsE,-8128.094567278638
bldg_type_Twnhs,-5421.709342329307
house_age_built,-4320.928475578037
garage_finish_RFn,-3799.617902197352
house_age_remodel,-3704.545572456877
roof_style_Gable,-3701.103156813041
bsmt_exposure_No,-3418.465234051213
bldg_type_Duplex,-3395.6280982495623
roof_style_Mansard,-2541.83801182558
neighborhood_Edwards,-2033.0034390272629
neighborhood_OldTown,-2027.3274359426696
garage_cars,-1936.4767736145996
bsmt_exposure_Mn,-1903.5973940216163
neighborhood_SawyerW,-1824.1385667939098
neighborhood_CollgCr,-1622.3570856075373
neighborhood_Gilbert,-1558.5827817977975
neighborhood_IDOTRR,-1489.3203332239627
garage_finish_Unf,-1436.7580781496483
heating_Grav,-1305.2586839849662
land_slope_Sev,-1299.519669618393
heating_OthW,-1217.9962329350224
roof_style_Gambrel,-1196.5890116351272
neighborhood_Somerst,-1139.396445441559
roof_style_Shed,-1123.2586304725753
bldg_type_2fmCon,-1121.9010990595798
neighborhood_ClearCr,-907.0310644352408
neighborhood_SWISU,-877.1782987250637
fence_NA,-844.9022626554456
lot_config_FR2,-775.8402836634419
full_bath,-735.432275541878
neighborhood_Greens,-670.1758088761785
electrical_Mix,-665.4058209681707
lot_config_FR3,-576.9248990326764
neighborhood_Sawyer,-546.905662038432
neighborhood_NWAmes,-531.424380668364
lot_shape_IR3,-504.35051872246913
land_contour_Low,-492.7398197110474
totrms_abvgrd,-464.67315979449086
fence_MnWw,-442.5587133463413
alley_Pave,-387.6015443136257
neighborhood_NAmes,-359.90186287930567
neighborhood_Mitchel,-330.3433028260131
roof_style_Hip,-271.0324318756825
neighborhood_Veenker,-191.29427926817038
heating_GasW,-182.85684263763892
neighborhood_Blueste,-137.5455948599691
foundation_Wood,-117.96089608346885
foundation_Slab,-94.03226222853732
land_contour_Lvl,-77.13925853603405
1st_flr_sf,-0.8134958641257981
electrical_SBrkr,63.25262898407618
electrical_FuseF,147.14747369356223
fence_MnPrv,197.16229592332184
street_Pave,207.2346546974295
electrical_FuseP,254.25590578697143
neighborhood_Landmrk,268.4822726083881
neighborhood_Timber,296.9820557117978
lot_shape_Reg,335.88314695101735
lot_config_Inside,381.9091848174437
neighborhood_BrkSide,383.6372802839337
foundation_CBlock,473.33565879716025
fence_GdWo,493.93453757975294
alley_NA,657.875752631624
foundation_Stone,672.7609413383711
heating_Wall,682.5319077989993
garage_finish_NA,775.1843002701144
foundation_PConc,789.71960628542
lot_shape_IR2,1083.7094277706983
neighborhood_BrDale,1100.5072762392251
neighborhood_MeadowV,1357.1821360306726
bsmt_exposure_NA,1616.8152195759708
land_slope_Mod,1624.2141817444635
land_contour_HLS,1640.515646239342
neighborhood_NPkVill,1942.3926189287579
ms_zoning_C (all),1980.8644307489294
lot_config_CulDSac,2175.550644529982
heating_qc,2343.9164414924494
ms_zoning_RH,2473.949767897424
neighborhood_Crawfor,2548.6588091357235
neighborhood_NoRidge,3237.1797122587595
neighborhood_GrnHill,4233.518220082887
fireplaces,4448.544739163307
kitchen_qual,5390.037088407731
bsmt_qual,5394.9896624891635
bsmt_exposure_Gd,6046.724701007077
exter_qual,6340.056520904333
mas_vnr_area,7075.10216138869
neighborhood_StoneBr,7362.683455840199
mas_vnr_type_Stone,7606.031133881937
neighborhood_NridgHt,7652.396115068117
garage_area,7846.71684458454
mas_vnr_type_BrkFace,8695.476011994004
ms_zoning_RM,9308.526546380723
ms_zoning_FV,9860.87335044195
overall_qual,11082.617763930462
misc_feature_TenC,11394.377218418862
ms_zoning_RL,11456.474440416285
total_bsmt_sf,12550.673072943797
mas_vnr_type_None,13290.617662891267
roof_matl_Membran,14158.365177548594
misc_feature_Gar2,20171.32316740491
misc_feature_Othr,21432.18566014365
gr_liv_area,24087.907744425906
roof_matl_WdShake,27104.133717740242
roof_matl_WdShngl,27326.92344027279
roof_matl_Tar&Grv,45824.78136260564
roof_matl_CompShg,62223.53636365009
misc_feature_Shed,78642.6289154476
misc_feature_NA,84419.06928508607
